numero_parte,descripcion,maximo,minimo,stock,consumible,disponible,reorder,main_cat_id
NCDMB075-0300S,-Piston de simple efecto SMC. Press max. 250 PSI,3,1,3,si,3,1,
744021,-Control display ROPEX.,2,1,1,si,1,1,
02.50 2RLPM 9 0.750.,-Cilindro PARKER.,4,2,3,si,3,2,
SKS25LP751,Kit de reparación de cilindro PARKER,3,1,3,si,3,1,
PM-L25,-Sensor de posición . PANASONIC,5,2,2,si,2,2,
A165ES01,-Boton Paro de emergencia. OMRON .,5,2,1,si,1,2,
RPLC-2,-Piston ROBOHAND.,2,1,1,si,1,1,
E2E-2Y1,-Sensor de Proximidad OMRON,2,1,2,si,2,1,
SFR1810ZZ A5.,-Balero DYNAROLL 3125”x.5000”x.1562”,20,10,21,si,21,10,
1C-031-Z.,-Collar mordaza. 5/16” ID. SPLIT CLIMAX,20,10,40,si,40,10,
4486,-Mandril DREMEL.,20,10,23,si,23,10,
D4C-1602,-Limit Switch OMRON.,2,1,1,si,1,1,
Mod. 3XE22D.,-Motor DC. DAYTON.,2,1,1,si,1,1,
F2-04THM - PLC Direct Logic205,-Modulo de entrada PLC p/ Thermocouple,2,1,1,si,1,1,
DXTEX00ZP3000PSGB,-Proportion Air .,6,2,4,si,4,2,
PP2154GXX3000,Manomettro 0-3000 PSI,10,2,10,si,10,2,
CLASS RK5 FNR-K-35,-Fusible de 35 Amp. 600 VAC.,6,2,2,si,2,2,
2F33,-Reten p/cilindro hidráulico CLAMP. SKF,6,2,1,si,1,2,
887861,-Reten p/cilindro hidráulico TRANSFER. HALLITE,6,2,5,si,5,2,
R70E,-Touch Screen (Usada).,2,1,4,si,4,1,
CXA-P1212D-WJL,-LED para Touch Screen. U5209. TDK-Lambda.,2,1,2,si,2,1,
CS11T,-Sensor de Proximidad KOYO.,5,2,3,si,3,2,
APS4-12M,-Sensor de Proximidad KOYO,2,1,1,si,1,1,
TL-Q5MC1,-Sensor de Proximidad OMRON.,2,1,2,si,2,1,
J684-000005,-Sensor de proximidad PANASONIC. TY (050716). GL-18H SUNX,2,1,1,si,1,1,
KI0203,-Sensor de Proximidad. IFM,2,1,1,si,1,1,
SQ1241DY-5L0-C6-M,-Electrovalvula SMC,2,1,1,si,1,1,
2Q1141Y-5L01-C6-M,-Electrovalvula SMC,2,1,1,si,1,1,
SQ1141Y-5L01-C4-B-MB,-Electrovalvula SMC,2,1,1,si,1,1,
VQZ342R-5L1-02-X71,-Electrovalvula SMC,2,1,1,si,1,1,
SY7140-5G1-A-X204,-Electrovalvula SMC,2,1,1,si,1,1,
SY5120-5LZ-01,-Electrovalvula SMC,2,1,2,si,2,1,
FK-2050-R-US7. EB4,-Shock Absorber,6,2,4,si,4,2,
DN4-2120,-Limit Switch OMRON,2,1,2,si,2,1,
RZ-01A94V-0. E322892,-Tarjeta de control Clucht. POLYTRON. 3176.,2,1,1,si,1,1,
